Traveler ID;Project;dgs;imageset;Rosetta Assigned Project;Rosetta State;IDX Assigned Project;Project State;Projects with no Imageset workflow
14-0840 \\ 15-1054;null \\ Newsbank Obituaries, 1980-2014, Post MOU - Image Ingest & FSI/DB;101000860;[4174B110-4EDD-46EA-B23E-198E134283B9|https://www.familysearch.org/indexing/admin-new/#/projects/7C57E167-ADC2-4334-B2E3-B14680F5D72D/manage/4174B110-4EDD-46EA-B23E-198E134283B9/batches/list] \\ [4174B110-4EDD-46EA-B23E-198E134283B9|https://www.familysearch.org/indexing/admin-new/#/projects/A794349A-CA50-4C0C-83FB-E5A4B9B47F9C/manage/4174B110-4EDD-46EA-B23E-198E134283B9/batches/list];[US, New Jersey—Obituaries, 1980-2014 \[A\]|https://www.familysearch.org/indexing/admin-new/#/projects/A794349A-CA50-4C0C-83FB-E5A4B9B47F9C/overview];In Production;[Testing Project Obits changed|https://www.familysearch.org/indexing/admin-new/#/projects/7C57E167-ADC2-4334-B2E3-B14680F5D72D/overview] \\ [US, New Jersey—Obituaries, 1980-2014 \[A\]|https://www.familysearch.org/indexing/admin-new/#/projects/A794349A-CA50-4C0C-83FB-E5A4B9B47F9C/overview];READY_FOR_DELIVERY \\ READY_FOR_DELIVERY;
14-0840 \\ 15-1054;null \\ Newsbank Obituaries, 1980-2014, Post MOU - Image Ingest & FSI/DB;101000905;[669F35FD-C385-4367-9658-EED3909B532C|https://www.familysearch.org/indexing/admin-new/#/projects/7C57E167-ADC2-4334-B2E3-B14680F5D72D/manage/669F35FD-C385-4367-9658-EED3909B532C/batches/list] \\ [669F35FD-C385-4367-9658-EED3909B532C|https://www.familysearch.org/indexing/admin-new/#/projects/A794349A-CA50-4C0C-83FB-E5A4B9B47F9C/manage/669F35FD-C385-4367-9658-EED3909B532C/batches/list];[US, New Jersey—Obituaries, 1980-2014 \[A\]|https://www.familysearch.org/indexing/admin-new/#/projects/A794349A-CA50-4C0C-83FB-E5A4B9B47F9C/overview];In Production;[Testing Project Obits changed|https://www.familysearch.org/indexing/admin-new/#/projects/7C57E167-ADC2-4334-B2E3-B14680F5D72D/overview] \\ [US, New Jersey—Obituaries, 1980-2014 \[A\]|https://www.familysearch.org/indexing/admin-new/#/projects/A794349A-CA50-4C0C-83FB-E5A4B9B47F9C/overview];READY_FOR_DELIVERY \\ READY_FOR_DELIVERY;
